"","difference","pvalue","signif.","LCL","UCL"
"1:390 - 1:400",-0.8625,0,"***",-1.24727545959675,-0.477724540403253
"1:390 - 1:500",-1.825,0,"***",-2.20977545959675,-1.44022454040325
"1:390 - 2:390",0.0125,1," ",-0.372275459596748,0.397275459596747
"1:390 - 2:400",-0.8875,0,"***",-1.27227545959675,-0.502724540403253
"1:390 - 2:500",-1.8375,0,"***",-2.22227545959675,-1.45272454040325
"1:390 - 3:390",-0.2125,0.6986," ",-0.597275459596747,0.172275459596748
"1:390 - 3:400",-0.8375,0,"***",-1.22227545959675,-0.452724540403252
"1:390 - 3:500",-1.85,0,"***",-2.23477545959675,-1.46522454040325
"1:400 - 1:500",-0.9625,0,"***",-1.34727545959675,-0.577724540403252
"1:400 - 2:390",0.875,0,"***",0.490224540403253,1.25977545959675
"1:400 - 2:400",-0.0249999999999999,1," ",-0.409775459596747,0.359775459596748
"1:400 - 2:500",-0.975,0,"***",-1.35977545959675,-0.590224540403253
"1:400 - 3:390",0.65,0,"***",0.265224540403253,1.03477545959675
"1:400 - 3:400",0.0250000000000001,1," ",-0.359775459596747,0.409775459596748
"1:400 - 3:500",-0.9875,0,"***",-1.37227545959675,-0.602724540403252
"1:500 - 2:390",1.8375,0,"***",1.45272454040325,2.22227545959675
"1:500 - 2:400",0.9375,0,"***",0.552724540403253,1.32227545959675
"1:500 - 2:500",-0.0125000000000002,1," ",-0.397275459596748,0.372275459596747
"1:500 - 3:390",1.6125,0,"***",1.22772454040325,1.99727545959675
"1:500 - 3:400",0.9875,0,"***",0.602724540403253,1.37227545959675
"1:500 - 3:500",-0.0249999999999999,1," ",-0.409775459596747,0.359775459596748
"2:390 - 2:400",-0.9,0,"***",-1.28477545959675,-0.515224540403252
"2:390 - 2:500",-1.85,0,"***",-2.23477545959675,-1.46522454040325
"2:390 - 3:390",-0.225,0.6307," ",-0.609775459596747,0.159775459596748
"2:390 - 3:400",-0.85,0,"***",-1.23477545959675,-0.465224540403252
"2:390 - 3:500",-1.8625,0,"***",-2.24727545959675,-1.47772454040325
"2:400 - 2:500",-0.95,0,"***",-1.33477545959675,-0.565224540403253
"2:400 - 3:390",0.675,0,"***",0.290224540403253,1.05977545959675
"2:400 - 3:400",0.05,1," ",-0.334775459596747,0.434775459596748
"2:400 - 3:500",-0.9625,0,"***",-1.34727545959675,-0.577724540403252
"2:500 - 3:390",1.625,0,"***",1.24022454040325,2.00977545959675
"2:500 - 3:400",1,0,"***",0.615224540403253,1.38477545959675
"2:500 - 3:500",-0.0124999999999997,1," ",-0.397275459596747,0.372275459596748
"3:390 - 3:400",-0.625,1e-04,"***",-1.00977545959675,-0.240224540403253
"3:390 - 3:500",-1.6375,0,"***",-2.02227545959675,-1.25272454040325
"3:400 - 3:500",-1.0125,0,"***",-1.39727545959675,-0.627724540403253
